https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USD
1652212800000,2022-05-10 20:00:00,UST/USD,0.91,0.913,0.903,0.904,213531.988541,193032.917641064
1652209200000,2022-05-10 19:00:00,UST/USD,0.915,0.915,0.898,0.91,233798.678799,212756.79770709
1652205600000,2022-05-10 18:00:00,UST/USD,0.916,0.918,0.914,0.915,81606.574105,74670.01530607502
1652202000000,2022-05-10 17:00:00,UST/USD,0.905,0.919,0.904,0.916,162794.91609,149120.14313844
1652198400000,2022-05-10 16:00:00,UST/USD,0.907,0.91,0.895,0.905,247567.288313,224048.395923265
1652194800000,2022-05-10 15:00:00,UST/USD,0.902,0.915,0.888,0.907,336622.9496,305317.0152872
1652191200000,2022-05-10 14:00:00,UST/USD,0.927,0.933,0.899,0.902,1029376.419255,928497.53016801
1652187600000,2022-05-10 13:00:00,UST/USD,0.92,0.931,0.919,0.927,431396.627925,399904.674086475
1652184000000,2022-05-10 12:00:00,UST/USD,0.906,0.931,0.906,0.92,1100581.350014,1012534.84201288
1652180400000,2022-05-10 11:00:00,UST/USD,0.901,0.913,0.875,0.906,635281.732654,575565.2497845241
1652176800000,2022-05-10 10:00:00,UST/USD,0.896,0.906,0.888,0.901,750261.219781,675985.359022681
1652173200000,2022-05-10 09:00:00,UST/USD,0.913,0.917,0.881,0.896,474927.611605,425535.13999808
1652169600000,2022-05-10 08:00:00,UST/USD,0.894,0.936,0.894,0.913,395369.093992,360971.982814696
1652166000000,2022-05-10 07:00:00,UST/USD,0.938,0.938,0.869,0.894,1565745.236859,1399776.241751946
1652162400000,2022-05-10 06:00:00,UST/USD,0.895,0.943,0.893,0.938,700007.574905,656607.10526089
1652158800000,2022-05-10 05:00:00,UST/USD,0.843,0.899,0.835,0.895,1325823.297571,1186611.8513260449
1652155200000,2022-05-10 04:00:00,UST/USD,0.755,0.854,0.748,0.843,2256306.516542,1902066.3934449062
1652151600000,2022-05-10 03:00:00,UST/USD,0.755,0.755,0.755,0.755,0.0,0.0
1652148000000,2022-05-10 02:00:00,UST/USD,0.795,0.81,0.75,0.755,1074688.837003,811390.0719372651
1652144400000,2022-05-10 01:00:00,UST/USD,0.801,0.857,0.737,0.795,2456786.407508,1953145.19396886
1652140800000,2022-05-10 00:00:00,UST/USD,0.765,0.805,0.619,0.801,1954613.011496,1565645.022208296
1652137200000,2022-05-09 23:00:00,UST/USD,0.887,0.891,0.759,0.765,2043116.155101,1562983.858652265
1652133600000,2022-05-09 22:00:00,UST/USD,0.874,0.926,0.832,0.887,1450318.490474,1286432.501050438
1652130000000,2022-05-09 21:00:00,UST/USD,0.935,0.967,0.871,0.874,484221.972242,423210.003739508
1652126400000,2022-05-09 20:00:00,UST/USD,0.941,0.978,0.932,0.935,237779.192355,222323.54485192502
1652122800000,2022-05-09 19:00:00,UST/USD,0.93,0.946,0.93,0.941,649024.95014,610732.47808174
1652119200000,2022-05-09 18:00:00,UST/USD,0.98,0.98,0.914,0.93,1134782.943114,1055348.13709602
1652115600000,2022-05-09 17:00:00,UST/USD,0.979,0.981,0.978,0.98,94479.460151,92589.87094798
1652112000000,2022-05-09 16:00:00,UST/USD,0.984,0.989,0.975,0.979,235963.042072,231007.81818848802
1652108400000,2022-05-09 15:00:00,UST/USD,0.99,0.99,0.978,0.984,559629.93333,550675.8543967201
1652104800000,2022-05-09 14:00:00,UST/USD,0.99,0.991,0.987,0.99,343490.346722,340055.44325477997
1652101200000,2022-05-09 13:00:00,UST/USD,0.995,0.995,0.989,0.99,191517.788224,189602.61034175998
1652097600000,2022-05-09 12:00:00,UST/USD,0.994,0.995,0.993,0.995,48393.16848,48151.2026376
1652094000000,2022-05-09 11:00:00,UST/USD,0.993,0.995,0.993,0.994,33890.807487,33687.462642078
1652090400000,2022-05-09 10:00:00,UST/USD,0.994,0.995,0.993,0.993,65383.354505,64925.671023465
1652086800000,2022-05-09 09:00:00,UST/USD,0.993,0.995,0.993,0.994,2548.108248,2532.819598512
1652083200000,2022-05-09 08:00:00,UST/USD,0.993,0.995,0.993,0.993,1519.456787,1508.820589491
1652079600000,2022-05-09 07:00:00,UST/USD,0.993,0.994,0.993,0.993,22680.086277,22521.325673060997
1652076000000,2022-05-09 06:00:00,UST/USD,0.995,0.995,0.993,0.993,25268.852824,25091.970854232
1652072400000,2022-05-09 05:00:00,UST/USD,0.993,0.995,0.993,0.995,1930.606387,1920.953355065
1652068800000,2022-05-09 04:00:00,UST/USD,0.994,0.995,0.99,0.993,72458.776962,71951.565523266
1652065200000,2022-05-09 03:00:00,UST/USD,0.995,0.995,0.992,0.994,153058.090272,152139.741730368
1652061600000,2022-05-09 02:00:00,UST/USD,0.995,0.995,0.994,0.995,31003.403597,30848.386579015
1652058000000,2022-05-09 01:00:00,UST/USD,0.995,0.995,0.994,0.995,204.798968,203.77497316
1652054400000,2022-05-09 00:00:00,UST/USD,0.995,0.995,0.994,0.995,5345.296769,5318.5702851549995
1652050800000,2022-05-08 23:00:00,UST/USD,0.994,0.995,0.993,0.995,21804.722006,21695.69839597
1652047200000,2022-05-08 22:00:00,UST/USD,0.997,0.997,0.993,0.994,31374.164215,31185.91922971
1652043600000,2022-05-08 21:00:00,UST/USD,0.996,0.997,0.996,0.997,5053.547869,5038.387225393
1652040000000,2022-05-08 20:00:00,UST/USD,0.996,0.996,0.993,0.996,12506.852291,12456.824881835999
1652036400000,2022-05-08 19:00:00,UST/USD,0.996,0.996,0.992,0.996,114843.058441,114383.686207236
1652032800000,2022-05-08 18:00:00,UST/USD,0.996,0.996,0.995,0.996,1851.204164,1843.799347344
1652029200000,2022-05-08 17:00:00,UST/USD,0.996,0.998,0.993,0.996,118088.039782,117615.687622872
1652025600000,2022-05-08 16:00:00,UST/USD,0.998,0.998,0.996,0.996,39180.590984,39023.868620064
1652022000000,2022-05-08 15:00:00,UST/USD,0.993,0.998,0.993,0.998,107651.885885,107436.58211322999
1652018400000,2022-05-08 14:00:00,UST/USD,0.991,0.994,0.991,0.993,40869.77805,40583.689603650004
1652014800000,2022-05-08 13:00:00,UST/USD,0.991,0.994,0.991,0.991,78719.72798,78011.25042817999
1652011200000,2022-05-08 12:00:00,UST/USD,0.995,0.995,0.991,0.991,52371.13963,51899.799373329995
1652007600000,2022-05-08 11:00:00,UST/USD,0.996,0.996,0.993,0.995,5856.280796,5826.99939202
1652004000000,2022-05-08 10:00:00,UST/USD,0.996,0.996,0.996,0.996,118.083743,117.611408028
1652000400000,2022-05-08 09:00:00,UST/USD,0.995,0.996,0.995,0.996,98.913086,98.51743365600001
1651996800000,2022-05-08 08:00:00,UST/USD,0.997,0.997,0.995,0.995,27172.394278,27036.53230661
1651993200000,2022-05-08 07:00:00,UST/USD,0.997,0.997,0.996,0.997,3983.341058,3971.391034826
1651989600000,2022-05-08 06:00:00,UST/USD,0.998,0.998,0.996,0.997,227.633135,226.950235595
1651986000000,2022-05-08 05:00:00,UST/USD,0.997,0.999,0.995,0.998,29173.890506,29115.542724988
1651982400000,2022-05-08 04:00:00,UST/USD,0.995,0.997,0.994,0.997,115205.611898,114859.995062306
1651978800000,2022-05-08 03:00:00,UST/USD,0.992,0.995,0.992,0.995,102278.270812,101766.87945794
1651975200000,2022-05-08 02:00:00,UST/USD,0.99,0.993,0.989,0.992,13648.3925,13539.20536
1651971600000,2022-05-08 01:00:00,UST/USD,0.993,0.994,0.989,0.99,73044.256869,72313.81430031
1651968000000,2022-05-08 00:00:00,UST/USD,0.995,0.995,0.992,0.993,2791.582655,2772.0415764150002
1651964400000,2022-05-07 23:00:00,UST/USD,0.989,0.995,0.989,0.995,106003.128703,105473.113059485
1651960800000,2022-05-07 22:00:00,UST/USD,0.996,0.996,0.987,0.989,67531.254848,66788.411044672
1651957200000,2022-05-07 21:00:00,UST/USD,0.996,0.998,0.994,0.996,132846.688379,132315.301625484
