https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USD
1652068800000,2022-05-09 04:00:00,LUNA/USD,61.45,63.89,61.28,62.82,3967.750241,249254.07013962002
1652065200000,2022-05-09 03:00:00,LUNA/USD,60.69,61.93,60.41,61.45,5851.627809,359582.52886305
1652061600000,2022-05-09 02:00:00,LUNA/USD,62.59,62.63,59.92,60.69,13992.90064,849229.1398416
1652058000000,2022-05-09 01:00:00,LUNA/USD,64.38,64.49,62.53,62.59,2077.991054,130061.46006986001
1652054400000,2022-05-09 00:00:00,LUNA/USD,64.23,65.23,63.45,64.38,2660.896498,171308.51654123998
1652050800000,2022-05-08 23:00:00,LUNA/USD,64.97,64.97,63.42,64.23,5155.408105,331131.86258415005
1652047200000,2022-05-08 22:00:00,LUNA/USD,66.89,66.89,64.73,64.97,7698.636633,500180.42204601
1652043600000,2022-05-08 21:00:00,LUNA/USD,65.74,66.89,65.74,66.89,9135.004026,611040.41929914
1652040000000,2022-05-08 20:00:00,LUNA/USD,66.52,66.52,65.2,65.74,9412.671853,618789.04761622
1652036400000,2022-05-08 19:00:00,LUNA/USD,66.94,67.2,66.09,66.52,2892.02757,192377.6739564
1652032800000,2022-05-08 18:00:00,LUNA/USD,66.04,67.82,64.88,66.94,4982.720719,333543.32492985995
1652029200000,2022-05-08 17:00:00,LUNA/USD,64.65,66.04,62.72,66.04,11423.213853,754389.04285212
1652025600000,2022-05-08 16:00:00,LUNA/USD,65.07,66.63,64.65,64.65,3980.94479,257368.08067350002
1652022000000,2022-05-08 15:00:00,LUNA/USD,64.75,66.5,64.35,65.07,7554.687667,491583.52649168996
1652018400000,2022-05-08 14:00:00,LUNA/USD,60.76,65.26,60.59,64.75,21407.64135,1386144.7774125
1652014800000,2022-05-08 13:00:00,LUNA/USD,60.21,62.28,59.42,60.76,12280.31528,746151.9564128
1652011200000,2022-05-08 12:00:00,LUNA/USD,63.22,63.66,60.11,60.21,4518.062764,272032.55902044004
1652007600000,2022-05-08 11:00:00,LUNA/USD,63.64,64.29,62.78,63.22,1226.439667,77535.51574774
1652004000000,2022-05-08 10:00:00,LUNA/USD,62.71,64.25,62.59,63.64,1731.43733,110188.6716812
1652000400000,2022-05-08 09:00:00,LUNA/USD,64.05,64.25,62.5,62.71,963.056705,60393.28597055
1651996800000,2022-05-08 08:00:00,LUNA/USD,64.17,64.64,63.65,64.05,586.411654,37559.6664387
1651993200000,2022-05-08 07:00:00,LUNA/USD,65.02,65.33,64.17,64.17,2095.36329,134459.4623193
1651989600000,2022-05-08 06:00:00,LUNA/USD,65.08,65.5,64.31,65.02,1270.899728,82633.90031456
1651986000000,2022-05-08 05:00:00,LUNA/USD,65.14,65.6,64.79,65.08,2133.765704,138865.47201631998
1651982400000,2022-05-08 04:00:00,LUNA/USD,65.64,66.43,64.92,65.14,6570.68752,428014.5850528
1651978800000,2022-05-08 03:00:00,LUNA/USD,65.04,66.06,63.84,65.64,9389.903983,616353.29744412
1651975200000,2022-05-08 02:00:00,LUNA/USD,63.71,65.21,61.82,65.04,16818.096182,1093848.9756772802
1651971600000,2022-05-08 01:00:00,LUNA/USD,65.5,66.22,63.23,63.71,14407.822453,917922.3684806301
1651968000000,2022-05-08 00:00:00,LUNA/USD,68.09,68.37,65.37,65.5,12310.966425,806368.3008375
1651964400000,2022-05-07 23:00:00,LUNA/USD,65.29,70.52,64.91,68.09,14248.508682,970180.95615738
1651960800000,2022-05-07 22:00:00,LUNA/USD,66.21,68.32,63.31,65.29,22565.915234,1473328.6056278602
1651957200000,2022-05-07 21:00:00,LUNA/USD,70.76,70.76,66.21,66.21,17070.888004,1130263.4947448398
1651953600000,2022-05-07 20:00:00,LUNA/USD,72.43,72.43,70.43,70.76,3786.799918,267953.96219768
1651950000000,2022-05-07 19:00:00,LUNA/USD,72.62,72.9,72.36,72.43,1209.198887,87582.27538541002
1651946400000,2022-05-07 18:00:00,LUNA/USD,72.56,73.11,72.11,72.62,1284.560596,93284.79048152
1651942800000,2022-05-07 17:00:00,LUNA/USD,73.23,73.26,72.47,72.56,7039.792335,510807.3318276
1651939200000,2022-05-07 16:00:00,LUNA/USD,73.47,73.56,72.77,73.23,1527.195092,111836.49658716
1651935600000,2022-05-07 15:00:00,LUNA/USD,73.11,73.58,73.06,73.47,818.167721,60110.78246187
1651932000000,2022-05-07 14:00:00,LUNA/USD,73.03,73.43,72.89,73.11,1040.957482,76104.40150902
1651928400000,2022-05-07 13:00:00,LUNA/USD,73.49,73.59,72.6,73.03,953.854199,69659.97215297
1651924800000,2022-05-07 12:00:00,LUNA/USD,73.8,73.9,73.15,73.49,1132.991239,83263.52615410999
1651921200000,2022-05-07 11:00:00,LUNA/USD,73.89,74.4,73.62,73.8,6938.633869,512071.1795322
1651917600000,2022-05-07 10:00:00,LUNA/USD,73.31,74.13,73.07,73.89,743.816872,54960.62867208
1651914000000,2022-05-07 09:00:00,LUNA/USD,73.51,73.75,73.09,73.31,905.427201,66376.86810531
1651910400000,2022-05-07 08:00:00,LUNA/USD,73.11,73.71,72.88,73.51,3985.645346,292984.78938446
1651906800000,2022-05-07 07:00:00,LUNA/USD,72.3,73.3,72.1,73.11,2751.117463,201134.19771993
1651903200000,2022-05-07 06:00:00,LUNA/USD,73.64,73.71,72.18,72.3,2008.626492,145223.6953716
1651899600000,2022-05-07 05:00:00,LUNA/USD,72.91,73.68,72.65,73.64,5007.289553,368736.80268291995
1651896000000,2022-05-07 04:00:00,LUNA/USD,75.5,75.51,72.72,72.91,5984.652407,436341.00699436996
1651892400000,2022-05-07 03:00:00,LUNA/USD,76.49,76.63,75.16,75.5,1741.063357,131450.2834535
1651888800000,2022-05-07 02:00:00,LUNA/USD,76.42,76.88,76.33,76.49,1187.06754,90798.7961346
1651885200000,2022-05-07 01:00:00,LUNA/USD,76.83,77.21,75.85,76.42,11809.254696,902463.24386832
1651881600000,2022-05-07 00:00:00,LUNA/USD,77.33,77.43,76.7,76.83,4944.55384,379890.07152719994
1651878000000,2022-05-06 23:00:00,LUNA/USD,78.56,78.63,77.24,77.33,2015.021211,155821.59024663
1651874400000,2022-05-06 22:00:00,LUNA/USD,78.8,78.9,78.04,78.56,309.865451,24343.02983056
1651870800000,2022-05-06 21:00:00,LUNA/USD,79.29,79.42,78.48,78.8,884.34495,69686.38206
1651867200000,2022-05-06 20:00:00,LUNA/USD,79.41,79.54,78.74,79.29,5678.413568,450241.41180672
1651863600000,2022-05-06 19:00:00,LUNA/USD,79.65,80.11,79.16,79.41,6030.974134,478919.65598094
1651860000000,2022-05-06 18:00:00,LUNA/USD,80.0,80.0,79.1,79.65,1978.991656,157626.6854004
1651856400000,2022-05-06 17:00:00,LUNA/USD,80.62,80.66,79.75,80.0,1498.056749,119844.53992000001
1651852800000,2022-05-06 16:00:00,LUNA/USD,79.92,80.63,79.63,80.62,1952.177055,157384.5141741
1651849200000,2022-05-06 15:00:00,LUNA/USD,80.19,81.66,79.85,79.92,3971.78147,317424.7750824
1651845600000,2022-05-06 14:00:00,LUNA/USD,78.33,80.35,78.04,80.19,6545.907789,524916.34559991
1651842000000,2022-05-06 13:00:00,LUNA/USD,80.19,80.4,77.74,78.33,4387.67532,343686.6078156
1651838400000,2022-05-06 12:00:00,LUNA/USD,79.8,80.93,79.73,80.19,1823.919785,146260.12755915
1651834800000,2022-05-06 11:00:00,LUNA/USD,79.96,80.49,78.94,79.8,7981.855057,636952.0335485999
1651831200000,2022-05-06 10:00:00,LUNA/USD,80.91,81.43,79.82,79.96,1475.993036,118020.40315856
1651827600000,2022-05-06 09:00:00,LUNA/USD,79.65,81.0,79.59,80.91,5605.711705,453558.13405154995
1651824000000,2022-05-06 08:00:00,LUNA/USD,80.34,81.01,79.51,79.65,1067.05655,84991.05420750001
